Provider Id,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
250040,42.845238095238095,61451.779496916286,9689.053235345227,8154.086896176206
250042,24.591836734693878,53944.80505015874,8408.516219714285,7386.28156179365
250043,26.897959183673468,11695.882173294121,5384.60183934694,4533.369962294118
250044,27.26829268292683,21542.44602153846,7717.097829560974,6738.883439461537
250048,46.66317626527051,37317.22892865976,11403.048893574169,9805.354831670127
250049,19.863636363636363,6584.925548357141,5047.761179954546,4358.931204928572
250050,26.21818181818182,24368.13924025641,8404.659493054545,7227.227137871794
250057,26.166666666666668,19608.885082,9491.486363636363,7937.86178253333
250058,36.08056872037915,18409.515382678077,7378.766674981045,6603.895824171233
250060,14.0,4084.7272729999995,6589.788182,5072.363636
250061,19.071428571428573,5920.149539473685,5260.285032178572,4246.278735210527
250067,17.558823529411764,14695.578257142854,7187.604799999999,6410.51042847619
250069,27.295454545454547,25846.98301791666,7664.564398090908,6578.054176591669
250072,21.007194244604317,107700.45478115785,12248.621401107917,11061.906702589475
250077,19.54,9778.577932558825,5869.992673180001,5010.845685294118
250078,52.54150943396226,40413.77007533242,11799.334271283027,10522.351805385915
250079,13.857142857142858,5057.5939515,5013.804594499999,4542.0573031250005
250082,32.943820224719104,22325.183199081963,8594.081796674156,7457.468069352455
250084,25.350515463917525,55612.90589210525,7181.223722948453,6261.067965526316
250085,19.5,15444.661981428571,7050.605948818179,5625.306798714286
250093,28.38888888888889,37561.66075271188,7351.709635077774,6689.874226050847
250094,29.156626506024097,84402.50094581819,9079.699564632534,8286.743020463638
250095,17.291666666666668,11424.90297625,7386.165357166666,6499.9140773750005
250096,22.557377049180328,65444.311239999995,7156.208124540984,6161.112866487181
250097,31.042424242424243,21282.226661234236,8605.893127430303,7356.07801908108
250099,30.308108108108108,22861.535387783326,8049.423009162163,7004.356264266668
250100,41.45142857142857,35740.39037850876,9861.06894228571,8608.116906859652
250102,45.90642201834862,47485.28559481992,10295.241233966977,8993.471446409974
250104,36.36697247706422,30085.310665408062,9113.91499012538,8020.798477708517
250117,24.5,19599.387397037037,6766.251686763159,5651.864153962964
250122,22.0,53039.045161290334,5664.904838709678,4671.919354838709
250123,23.817073170731707,54076.0456681132,7135.097767731706,5686.60772328302
250124,21.657894736842106,11701.081538076922,6129.211216631577,5272.776451692309
250126,20.346153846153847,17600.48077125,5974.880516038462,5060.327381
250128,26.98148148148148,23221.995919090907,6812.739382444445,5748.225886757576
250134,11.0,13954.363640000001,6336.090909,5743.0
250138,29.278688524590162,91047.42808571427,10553.560720393443,9263.416517114287
250141,41.73033707865169,46989.77855995817,11034.424007561802,9409.808658585773
250151,128.5,11969.283142799999,7436.576297625,7398.987635999998
250162,19.303030303030305,15528.737632545457,7355.130744878788,6165.270169863635
250167,25.511111111111113,28925.574087142853,7694.595433422221,6334.2434704285715
250168,23.543478260869566,17300.702198951607,6005.844959336956,4658.642626387097
260001,36.44094488188976,48484.73308545454,11083.25193498032,10283.037338787883
260004,15.428571428571429,9202.89905775,5873.405881285714,4476.561882999999
260005,32.48706896551724,36594.02350934638,10025.280103517242,8943.815078045756
260006,43.1425,35106.44283468796,14849.85531147,13335.919778721795
260009,33.94166666666667,21674.813372594934,7877.986843108329,6820.3851762025315
260011,33.41463414634146,28978.734662410727,8984.953071737807,7785.99896619643
260015,23.163265306122447,46769.481985454535,7738.589979367347,6438.566197969699
260017,31.11764705882353,42928.0032880198,10461.636858594777,9035.279856504952
260020,41.13333333333333,51203.426508840574,14133.246500123534,12754.876308501447
260022,35.05263157894737,66380.9814435,14335.148968438594,13075.58195875
260023,38.44278606965174,38700.4473267669,9699.190547945269,8395.041442015037
260024,23.23404255319149,12169.191606781249,6458.725962340427,5254.6114126249995
260025,34.40601503759399,32588.174787033335,10211.302489443611,9161.602996011112
260027,30.980582524271846,97628.6003020976,12434.903464339794,10366.3714989561
260032,48.03983656792646,64337.84158022941,20274.166881984682,18081.389177070345
260034,20.545454545454547,25963.4943404,10652.371203575756,9396.97215636
260040,44.073412698412696,51137.14097101156,12567.356086198413,10807.670025286132
260047,29.01360544217687,25109.33908759594,8978.341917619053,7846.345430373736
260048,30.604477611940297,18846.512897955563,12591.099928425372,11231.20696912222
260050,18.0,20853.360779411767,12618.571843480002,11463.77830917647
260052,29.362204724409448,34568.81062411766,9066.225516779528,7920.805109482353
260057,25.327868852459016,17868.042821190476,6684.145042163935,5607.263222119047
260059,26.83050847457627,19300.140483157895,8084.0744444067805,6887.745167894737
260061,15.956521739130435,14487.394127588235,7858.7359855652185,6872.964617999999
260062,29.928057553956833,40022.725489354845,7740.789305251796,6104.6903938924725
260064,24.163636363636364,17955.971567837838,8886.685584563636,7530.4940759729725
260065,47.756805807622506,55140.79592943542,13620.045155390184,12088.43361127688
260068,42.36091954022989,36685.02332243059,10865.24566557932,9480.258709843756
260070,28.74468085106383,14926.93728871875,6778.873999510641,5794.072487906249
260074,24.025,47313.425743076914,9635.809308250002,8310.254665846152
260077,43.16255144032922,31167.3361708405,10084.442377788058,8682.66547748772
260078,32.03597122302158,20164.85342479592,7459.951363769785,6397.744772224488
260080,20.25,20446.72662,6227.786241916666,5708.61376775
260081,34.19047619047619,34322.68573848649,9173.99120307359,7964.173527837841
260085,34.291845493562235,43146.54534675156,9590.261444210299,8635.154763885352
260091,33.70676691729323,40279.481818888904,14101.837342191731,13381.300246699988
260094,33.73913043478261,40465.06825429906,9231.513853720491,7614.017450850468
260095,36.820754716981135,76427.3514935071,9693.759460581756,7832.8510944455
260096,42.12742980561555,50089.473776539686,10254.16768909072,8747.195215558726
260097,24.901408450704224,17415.534595312503,10335.528831647885,9327.733156749999
260102,29.61904761904762,16731.401391777777,11725.355784999998,10962.742140814817
260104,41.45918367346939,42046.51655747127,11803.185907301022,10192.694230111108
260105,28.17837837837838,80420.21246571434,21508.64422778108,16662.60383908163
260108,43.32683982683983,43361.98032594936,12748.4672365736,11296.087113452528
260110,32.42909090909091,58715.50388508109,12537.668448516357,10724.400243870266
260113,30.88679245283019,32600.925800142868,9997.921330764157,9181.070952400003
260116,24.15,31566.35315789473,7279.531999999999,6401.6663157894745
260119,39.139240506329116,80938.02383337507,9397.89498281856,8377.789258268753
260137,39.37027707808564,57548.625358642086,12120.856014329966,10094.876527959417
260138,35.45129224652087,91059.81674319768,17712.770357371763,15634.168438694756
260141,34.463510848126234,62141.409199011985,16461.433065420104,14704.487040047907
260142,22.638297872340427,17885.563289032263,6602.003128468086,5541.212452483871
260160,25.057142857142857,12450.328052080002,5891.823390428573,5109.277720119999
260162,33.2,22510.123299999996,8858.140075977777,7593.902764969697
260163,38.226190476190474,15616.608800576922,6094.8439634642855,5108.241795269229
260175,24.816666666666666,22107.289542926832,7338.423531566665,6286.04768612195
260176,30.381818181818183,56554.094913239445,10087.113943200002,8710.937177887326
260177,30.686192468619247,36138.74664519228,8609.585047702929,7244.950362961539
260179,42.25633802816901,41930.67995949154,12323.97876699436,10740.39164081355
260180,36.876288659793815,48177.646302010085,11972.188758168386,11106.861545555557
260183,36.98961038961039,73038.69724679996,10862.01005952987,9574.503642611999
260186,30.872340425531913,38568.330019166664,11056.412612659578,10115.693700593749
260190,25.762376237623762,49526.88284899999,6611.489150663368,4885.957384357144
260191,30.021428571428572,25353.110510957446,8267.889408564286,6942.665764819149
260193,35.03738317757009,35676.37367623187,8604.677157551403,7555.157482101449
260195,29.074626865671643,22576.210882363637,10487.208632955226,8865.261912204545
260200,32.80373831775701,32075.14362128378,8388.740389107474,7242.674540094596
260207,17.0,72788.26,16790.035,10812.42
260210,53.0,29174.277732857143,8790.51713108108,7427.620879571427
260214,26.223684210526315,43584.00759020833,6011.364980973684,4898.022668395834
260216,36.43448275862069,49719.63331544502,8040.469040655166,6557.489003340315
260219,26.51219512195122,19641.379792333333,6800.548572146342,5558.610512666667
260227,20.3,10912.317143857143,4329.613686499999,3230.424071428571
260228,14.5,25099.665,7968.049999999999,6986.98
