medicare provider number,Revenue from sale of medical and surgical supplies to other than patients [other_income_supplies_nonpat],Revenue from sale of drugs to other than patients [other_income_drugs_nonpat],"Tuition (fees, sale of textbooks, uniforms, etc.) [other_income_tuition]","Revenue from gifts, flowers, coffee shops, and canteen [other_income_gifts]",Rental of vending machines [other_income_vending],Governmental appropriations [other_income_govt_approp],Revenues from State and local indigent care programs (2552-96 only) [revs_uncomp_stloc_indig_only96],Revenues related to SCHIP (2552-96 only) [revs_uncomp_schip_only96],"Restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_rstrgrants_only96]","Non-restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_nonrstrgrants_only96]",Charges for patients covered under state or local indigent care program [stloc_indigent_charges],State or local indigent care program cost [stloc_indigent_costs],Stand-alone SCHIP charges [schip_charges],Stand-alone SCHIP cost [schip_costs],"Inpatient days, Medicare skilled nursing facility swing beds [mdcr_snf_swingbed_inpat_days]","Inpatient days, skilled nursing facility swing beds [all_snf_swingbed_inpat_days]","Inpatient days, nursing facility swing beds [all_nf_swingbed_inpat_days]","Inpatient days, other specialty care units [all_oth_spec_care_inpat_days]","Inpatient days, coronary care unit [all_coronary_care_inpat_days]","Inpatient days, burn intensive care unit [all_burn_icu_inpat_days]","Inpatient days, surgical intensive care unit [all_surgical_ic_inpat_days]",Revenue from rental of living quarters [other_income_livingrental],Revenue from laundry and linen service [other_income_laundry],Parking lot receipts [other_income_parking],Rebates and refunds of expenses [other_income_rebates],Nursing and allied health managed care payment [mdcr_ipps_nurs_mgdcare_pymts],Net organ acquisition cost [mdcr_ipps_net_organ_cost],Cost of teaching physicians [mdcr_ipps_teach_phys_cost],Routine service other pass through costs [mdcr_ipps_routine_passthru_cost],medicare provider number
40026,,,15294.660600922223,32717.992199333337,11326.488178,,,,,,,,10978802.715833334,2153178.819966667,,,,,,14.499996543,,,,,100446.11473000002,3399.9977143,,,,40026
40027,,,75107.963014,4450.997131800001,32940.746140166666,2206.0,,,,,,,,,,,,,,,,135949.0,,,116973.244852375,22443.999101,,,,40027
40029,10988.0,3729.0,,,14160.998173499998,,,,,,,,,,781.9999286466667,814.9999085883333,,,,,,,1397923.0175300003,,27916.3929794,15560.99238,,,,40029
40062,,48388.69602911905,3686.332454433333,767662.0347021251,15592.828063701665,,12074677.121,,,,41725.490051999994,10979.497382000001,2017028.4615850002,540943.2810900001,,,,,,10.9999973775,,27454.993454,,,92017.96899283334,5189.998762650001,,,,40062
40078,2978.9992897520005,,,4108.065628400001,7642.997821231579,14577.489636850001,224929.752043,143705.89894349998,,,578246.02586,106865.4263035,393386.2057295,72701.9645305,,,,,,,,,,,8480.3729178625,4790.49885785,,,,40078
40114,,,5589439.72602,4106900.0,144114.99991437502,3632127.94795,,,,,,,,,,,,10931.33181366667,16444.34586995652,,5808.129922943478,,,,330361.2384490909,552363.0357015,1374601.998628696,,928133.1374956522,40114
50006,1877.99955225,,,,1109.2852962724287,533333.365995,11630213.510333335,,12499.997019999999,17302.4850715,13155089.631070001,2977157.2572520003,1193223.38261,254907.608488,,,,621.8330852816666,,,,,,,35650.48484385,10731.994242375,,,,50006
50007,,409586.42366428574,-11168.0,610765.0442922222,,331122.16170066665,,,130513.0,,829027.51429375,212801.36008125002,81356.33333333333,21014.333333333332,,,,817.12495285,1383.5713097014284,,,,,56658.10875343445,657284.7715777778,3276.0,,,,50007
50008,,,5344.896243525,,24164.45971245385,11232.997203216668,,307703.49302225,,,5982778.855916364,1380294.7429912726,190031.9860445,42480.997624,,,,,2224.1577482894736,,,103415.99486,,947448.6782807142,435777.6591994176,9320.0,,,25026.464821660004,50008
50009,,21.499994874000002,26435.777412002106,143980.89533653168,8789.413842704167,,1528285.6842625,,10061.6631482,,8980813.295798333,1970301.2691518338,63.9999529695,10.99999549635,,,,1213.499544079167,,,,8738.997916533333,,,41914.113379905655,34108.991867666664,,,,50009
50013,301.5,5590.537345708333,22874.777529255556,236156.71908600003,10915.999264968,318006.6033627273,1619007.2627214284,,159711.21951999998,,12486491.643216154,2538181.4481577696,1121899.713025,215376.18767,,,,,,,,822643.8823739999,,,58461.162719416665,13717.0,,,,50013
50014,3379.5328204912003,1693.4996736,5037.399766706667,,5339.570946719048,48125.99933345715,760293.3856216666,,236999.957875,,4060802.1296464284,1150301.286335,94543.66666666667,22992.0,,,,,,,,59.0,,,78440.63614257143,,,,,50014
50017,17835.992267247337,3076050.2085847915,19318.995393999998,,8454.140795428571,733561.0099536923,988226.71983375,508769.26368399995,210993.949695,,13758949.092431251,2529139.7455595634,6402342.74118111,1156963.72514,,,,3517.49881005,5395.49827167,,2307.4992725916663,120.79994975040002,,529684.39348125,256993.17292631124,54197.54291998749,,,,50017
50022,8612.49028415,,11463.330082421113,,5181.459522288463,,990495.3052984626,,835805.80073,,8377821.205177777,1183302.2331744444,,,,,,4387.123611429167,,,,,,,385987.8182475,9897.162437661666,2441461.1719343476,,542231.87072,50022
50025,,,,301437.30361199996,,,5720349.63615,130156.7561158,2363951.4364,,58054272.37629533,18997297.818829063,439894.030866,158240.7312986,,,,11689.954200716666,6266.081217837499,4113.665275124999,10559.5795740625,,,,208002.327054,105912.40835864999,10330880.19682083,,234179.61824705882,50025
50026,974.8174015,1604791.680397238,,,,287499.86291,3485598.379211111,718041.9670104445,132199.59576366667,,51443673.13891111,9877768.099177778,1232524.5338949335,239206.1950967178,,,,2445.7066853200004,,,3121.8986299939997,,,579661.5226426818,,13962.56439349357,,,10867.618768987502,50026
50028,,,36023.4863874125,,4252.816530554545,21130.215941890005,,,,,2442045.80728985,768215.1667907599,,,37.999984694800006,63.14282870571429,,,,,,,,,,3890.664920833333,,,,50028
50030,5112.816268513637,27584.069987626663,10931.496090599998,96420.7896676,5052.511494927143,,4886386.62817,,,,14635063.310945716,3380565.6603822857,56786.729690700005,15112.994595274999,,,,,,,,1037.4996287669999,,,307699.97392925003,1699.99939202,,,,50030
50036,,,9210.48901565,,17792.618433424377,280757.43306425004,86446.97938949999,,,,24322209.378644448,4808708.909522222,,,,,,4727.040063477501,,865.99979353,,,7.49999821185,,91204.04760542345,6604.7478722,,,,50036
50038,,2537.9993949,,,,109812737.99157391,11495447.951822221,2723597.9861999997,,2654488.033766667,194411895.48988888,68197584.58948332,7220987.614566666,2438806.1999205556,,,,7445.178849609091,2302.7907739891666,2064.2769752473887,2114.79921148,,,,1676922.783124,,,,72498.4780995,50038
50039,573.4998540471667,28879.984929333335,126394.21701863158,62524.36369357143,5693.69796610888,216169.94795694,9926722.181,,572634.8634733333,,28571792.995790582,6323205.725588823,,,,,,324.0665243751333,,,,12024.997133043333,,,280872.4063163809,2890.9993107,,,,50039
50042,158.4999622095,204.99975108,4896.797667550001,145230.4358415,3793.469095118824,140778.60697433332,1063916.75281,,12168.281046499998,41677.4900635,13125852.05314706,2895695.025452941,,,88.26663392345334,159.16659256075556,13.4999967815,,,,,4.9999988079,,,11907.408843279749,2549.9988388750003,,,,50042
50043,,169990.15945106006,39312025.47029545,,44586.489469,,,,,,16160652.730728569,3582954.4703842853,3695.3333333333335,794.6666666666666,,,,3061.9992449142856,1983.0829944999998,,,,,1148262.3816613043,204591.20415700003,417539.59068560007,,,2184649.391429412,50043
50045,76.37498124103749,9334.288208517499,,,,,7850364.77888889,1854350.831678,,,13233098.502057668,3245268.4384250115,5055943.76646,1358392.452984,,,,550.6664696166667,,,,,,3114.2492575124998,97574.21574794168,1718.99959015,,,,50045
50047,5737.9979023999995,,1924010.3071529998,956417.1292166667,31062.046620250003,3953922.0,,814820.2315,,,41032764.23255555,10103042.061222222,141878.49017903334,34541.83253065,,,,6250.443462233334,,,5715.303852956522,607333.96644,920090.0,2033744.10055,1667609.2896973912,46621.465858313335,10074370.010034783,,92585.71165028571,50047
50055,,1630388.8996033333,1974.99952915,,9219.06014890625,436361.74879815,,890405.0,,142412.96605,2151934.5534200002,549737.5498042858,534695.0387318182,145936.52392727273,,,,740.9373234106251,,,,168227.29423666667,,413726.5084936364,222608.7171157867,16905.499718183335,,,58798.74434925,50055
50056,45377.961924,,,,2249.99946355,,,,328.49992168,,607317.855205,144022.46566500003,,,,,,4953.998275853332,,,,808565.310335,,,158006.12860156666,2640.49937045,,,,50056
50057,140820.48923179164,,,,26815.578532311763,3064728.1198204164,147328478.85529998,,,,85767774.00923999,20809942.685959443,1476849.4263434,360408.24857968,,,,2735.6660144350003,,,,,17689.557520165003,,41363.4901385,18615.847102185715,,,43580.239609749995,50057
50058,579.0389288921666,32297.5063692019,4919.8685936625,,18991.22886944,-66651.0381925,818231.3665152222,4.9999988079,427305.89812400006,4.9999988079,11968849.109839333,2511329.0704255006,645634.9204915232,127413.11885190464,,,,2965.0423089266956,2735.8570990999997,,,11774.661168416666,,687081.5167060455,83886.87574448636,4505.831890299999,,,15494.06052353846,50058
50060,17558.495813499998,2626392.9351806757,,1063855.9111961664,16966.061751153335,1135713.5471827777,695461.44332,9747745.685722223,1602749.4139222223,,141253484.0544,32781246.602233335,114003010.53296874,25225515.25362,,,,11056.359706259727,1842.7494028099998,2498.0446461340907,,,931726.777855,40857.31950553334,794979.422509625,18610.687422629235,,,29965.177071630627,50060
50077,,1583085.1215843693,24805.183158816002,411971.0832412501,36262.39685147083,1109074.620577875,7564878.768922221,,,,67412123.7820739,14985299.82010944,823630.2437864284,168072.91445839996,,,,3330.79835528,1623.4991943,,,39361.96996,,291008.3529354999,97795.25309202608,27293.859159355623,,,30439.982164755453,50077
50078,36910.24991727,,2849.888317872222,,,1072072.33355,1174636.44385,,,,,,,,,,,,,,,,4654.0,54056.450765,18365.995378404456,15587.996404,,,25431.2484375,50078
50082,274.99986966666665,4286.998004120001,37460.715921072726,,10380.578740233335,33857.26233314286,79692.357466375,,868457.792945,,16681445.216566673,3570691.224811111,97617.967215,21839.4909395,,,,2483.7263149454548,2854.6988276900006,,3138.4694104058826,,1290.2493288625,,112649.40128648999,5536.163354316667,,,115752.78197216667,50082
50084,8258.49869435,16695.495985824997,,,14841.786334583332,994488.4361777777,,,,,22579398.20692,3527128.5865390003,1754888.5816000002,317152.424385,,,,5465.998034126666,2512.707590437499,2863.0,,412562.41575499997,146954.788768,177316.12237704542,133043.11429295322,22899.416990821428,,,85903.8859109,50084
50093,,,,,,,670991.46015,92491.58267612499,,,3176869.6801750003,764267.6607137499,438498.92407711665,108652.45097699166,,,,,2155.799134446,,2064.290886515417,,,,402227.77459850005,34513.82051616666,,,,50093
50099,,,,,19537.909013263157,,,,306118.99212249997,,,,,,,,,3676.2659393266667,4622.507763134782,,,,,,31793.608999915454,45704.9849315,,,,50099
50100,15695.447007891275,62045.556940820854,172812.58947175,198135.52543683336,,140337.7265968,2746688.318217778,375869.0359877778,181948.47064955556,,33159747.351983327,6879870.136213888,1009335.7487692644,207844.3626960824,,,,,,,20700.808131163634,,5463.998654,634123.1279541667,11223.79469744,30053.167342754547,4600324.815216666,,27905.575175558828,50100
50102,,,10855.997131999999,129254.42956666666,2280.7776755222226,,594.6666635466667,16489296.909500001,,5098072.0,3580107.4103763998,704063.7327111999,,,,,,3102.4759290380953,,,,1645.0,,,135576.04161426472,3400.0,,,,50102
50103,808.99993311,17345.987158,,24652.4998075,,,1892612.53644,,322179.99954333337,,14845721.503191667,2604131.157991667,,,,,,7913.086271126088,1717.181680518182,,,751894.60411,8181.999441683333,604610.4483181818,152363.0,77201.66459766666,,,91700.195685,50103
50107,197.9998967875,19322.162171577776,12576.496459425003,,4500.946349811583,199722.19589363332,1067193.2113024998,,,,21909893.586435717,4445553.178259285,,,,,,,1691.412894595,,,,2350.24888155,,110785.41124670401,5798.162320098333,,,,50107
50108,45537.2418665,1558268.8926664707,26647.497219334997,16426.997634925,29680.14176857143,2331900.2672146666,3895824.0,,,,112091011.9778125,26234603.86661875,841570.3333333334,180026.0,,,,21421.693459695653,4908.173624552174,,,,,1983147.850032174,343032.56390095456,51005.28232635714,1506312.83383,,76915.67616221053,50108
